Training Statistics for AE_allbus
==================================================

Episode   20: Loss=  0.0000, Violations=   0, Proj=   0, Fallback=   0
Episode   21: Loss=  0.0000, Violations=   0, Proj=   0, Fallback=   0
Episode   21: Loss=  0.0000, Violations=   0, Proj=   0, Fallback=   0
Episode   21: Loss=  0.0000, Violations=   0, Proj=   0, Fallback=   0
Episode   21: Loss=  0.0000, Violations=   0, Proj=   0, Fallback=   0
Episode   22: Loss=  0.0000, Violations=   0, Proj=   0, Fallback=   0
Episode   22: Loss=  0.0000, Violations=   0, Proj=   0, Fallback=   0
Episode   22: Loss=  0.0000, Violations=   0, Proj=   0, Fallback=   0
Episode   22: Loss=  0.0000, Violations=   0, Proj=   0, Fallback=   0
Episode   23: Loss=  0.0000, Violations=   0, Proj=   0, Fallback=   0
Episode   23: Loss=  0.0000, Violations=   0, Proj=   0, Fallback=   0
Episode   23: Loss=  0.0000, Violations=   0, Proj=   0, Fallback=   0
Episode   23: Loss=  0.0000, Violations=   0, Proj=   0, Fallback=   0
Episode   24: Loss=  0.0000, Violations=   0, Proj=   0, Fallback=   0
Episode   24: Loss=  0.0000, Violations=   0, Proj=   0, Fallback=   0
Episode   24: Loss=  0.0000, Violations=   0, Proj=   0, Fallback=   0
Episode   24: Loss=  0.0000, Violations=   0, Proj=   0, Fallback=   0
Episode   25: Loss=  0.0000, Violations=   0, Proj=   0, Fallback=   0
Episode   25: Loss=  0.0000, Violations=   0, Proj=   0, Fallback=   0
Episode   25: Loss=  0.0000, Violations=   0, Proj=   0, Fallback=   0
Episode   25: Loss=  0.0000, Violations=   0, Proj=   0, Fallback=   0
Episode   26: Loss=  0.0000, Violations=   0, Proj=   0, Fallback=   0
Episode   26: Loss=  0.0000, Violations=   0, Proj=   0, Fallback=   0
Episode   26: Loss=  0.0000, Violations=   0, Proj=   0, Fallback=   0
Episode   26: Loss=  0.0000, Violations=   0, Proj=   0, Fallback=   0
Episode   27: Loss=  0.0000, Violations=   0, Proj=   0, Fallback=   0
Episode   27: Loss=  0.0000, Violations=   0, Proj=   0, Fallback=   0
Episode   27: Loss=  0.0000, Violations=   0, Proj=   0, Fallback=   0
Episode   27: Loss=  0.0000, Violations=   0, Proj=   0, Fallback=   0
Episode   28: Loss=  0.0000, Violations=   0, Proj=   0, Fallback=   0
Episode   28: Loss=  0.0000, Violations=   0, Proj=   0, Fallback=   0
Episode   28: Loss=  0.0000, Violations=   0, Proj=   0, Fallback=   0
Episode   28: Loss=  0.0000, Violations=   0, Proj=   0, Fallback=   0
Episode   29: Loss=  0.0000, Violations=   0, Proj=   0, Fallback=   0
Episode   29: Loss=  0.0000, Violations=   0, Proj=   0, Fallback=   0
Episode   29: Loss=  0.0000, Violations=   0, Proj=   0, Fallback=   0
Episode   29: Loss=  0.0000, Violations=   0, Proj=   0, Fallback=   0
Episode   30: Loss=  0.0000, Violations=   0, Proj=   0, Fallback=   0
Episode   30: Loss=  0.0000, Violations=   0, Proj=   0, Fallback=   0
Episode   30: Loss=  0.0000, Violations=   0, Proj=   0, Fallback=   0
Episode   30: Loss=  0.0000, Violations=   0, Proj=   0, Fallback=   0
Episode   31: Loss=  0.0000, Violations=   0, Proj=   0, Fallback=   0
Episode   31: Loss=  0.0000, Violations=   0, Proj=   0, Fallback=   0
Episode   31: Loss=  0.0000, Violations=   0, Proj=   0, Fallback=   0
Episode   31: Loss=  0.0000, Violations=   0, Proj=   0, Fallback=   0
Episode   32: Loss=  0.0000, Violations=   0, Proj=   0, Fallback=   0
Episode   32: Loss=  0.0000, Violations=   0, Proj=   0, Fallback=   0
Episode   32: Loss=  0.0001, Violations=   0, Proj=   0, Fallback=   0
Episode   32: Loss=  0.0002, Violations=   0, Proj=   0, Fallback=   0
Episode   33: Loss=  0.0004, Violations=   0, Proj=   0, Fallback=   0
Episode   33: Loss=  0.0007, Violations=   0, Proj=   0, Fallback=   0
Episode   33: Loss=  0.0011, Violations=   0, Proj=   0, Fallback=   0
Episode   33: Loss=  0.0015, Violations=   0, Proj=   0, Fallback=   0
Episode   34: Loss=  0.0018, Violations=   0, Proj=   0, Fallback=   0
Episode   34: Loss=  0.0022, Violations=   0, Proj=   0, Fallback=   0
Episode   34: Loss=  0.0026, Violations=   0, Proj=   0, Fallback=   0
Episode   34: Loss=  0.0030, Violations=   0, Proj=   0, Fallback=   0
Episode   35: Loss=  0.0032, Violations=   0, Proj=   0, Fallback=   0
Episode   35: Loss=  0.0034, Violations=   0, Proj=   0, Fallback=   0
Episode   35: Loss=  0.0036, Violations=   0, Proj=   0, Fallback=   0
Episode   35: Loss=  0.0036, Violations=   0, Proj=   0, Fallback=   0
Episode   36: Loss=  0.0036, Violations=   0, Proj=   0, Fallback=   0
